# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
1, 332.56, 5:32.56, 297.44, 31.54, 98%, 6448, 40848, 0, 9, 899541, 0, 0, 0, 0, 6285, 9081, 0, bash -c make --quiet --jobs=1
1, 1384.77, 23:04.77, 1309.18, 76.67, 100%, 0, 78640, 0, 0, 2088049, 0, 0, 0, 0, 11405, 13925, 0, bash -c make --quiet --jobs=1
1, 1384.30, 23:04.30, 1309.54, 75.73, 100%, 0, 78640, 0, 0, 2088028, 0, 0, 0, 0, 11289, 13973, 0, bash -c make --quiet --jobs=1
2, 714.40, 11:54.40, 1313.27, 76.09, 194%, 0, 78640, 0, 0, 2089597, 0, 0, 0, 0, 10794, 14090, 0, bash -c make --quiet --jobs=2
2, 714.15, 11:54.15, 1313.29, 75.86, 194%, 0, 78640, 0, 0, 2089696, 0, 0, 0, 0, 10935, 14064, 0, bash -c make --quiet --jobs=2
2, 714.51, 11:54.51, 1312.97, 76.86, 194%, 0, 78640, 0, 0, 2089627, 0, 0, 0, 0, 10810, 14053, 0, bash -c make --quiet --jobs=2
3, 492.12, 8:12.12, 1318.26, 76.38, 283%, 0, 78640, 0, 0, 2089760, 0, 0, 0, 0, 10216, 14706, 0, bash -c make --quiet --jobs=3
3, 494.09, 8:14.09, 1317.94, 76.67, 282%, 0, 78640, 0, 0, 2089716, 0, 0, 0, 0, 10324, 14684, 0, bash -c make --quiet --jobs=3
3, 494.29, 8:14.29, 1319.03, 75.86, 282%, 0, 78640, 0, 0, 2089811, 0, 0, 0, 0, 10268, 14462, 0, bash -c make --quiet --jobs=3
4, 384.70, 6:24.70, 1322.81, 76.49, 363%, 0, 78640, 0, 0, 2090207, 0, 0, 0, 0, 8688, 15125, 0, bash -c make --quiet --jobs=4
4, 385.38, 6:25.38, 1324.82, 76.17, 363%, 0, 78640, 0, 0, 2089821, 0, 0, 0, 0, 9851, 14775, 0, bash -c make --quiet --jobs=4
4, 385.86, 6:25.86, 1324.57, 76.94, 363%, 0, 78640, 0, 0, 2089948, 0, 0, 0, 0, 9867, 15127, 0, bash -c make --quiet --jobs=4
5, 319.98, 5:19.98, 1329.87, 78.22, 440%, 0, 78640, 0, 0, 2090336, 0, 0, 0, 0, 9421, 15368, 0, bash -c make --quiet --jobs=5
5, 319.87, 5:19.87, 1330.26, 77.80, 440%, 0, 78640, 0, 0, 2090084, 0, 0, 0, 0, 9496, 15389, 0, bash -c make --quiet --jobs=5
5, 320.61, 5:20.61, 1329.14, 78.72, 439%, 0, 78640, 0, 0, 2090645, 0, 0, 0, 0, 9437, 15413, 0, bash -c make --quiet --jobs=5
6, 276.45, 4:36.45, 1335.98, 79.16, 511%, 0, 78656, 0, 0, 2090427, 0, 0, 0, 0, 9205, 15655, 0, bash -c make --quiet --jobs=6
6, 276.14, 4:36.14, 1335.87, 78.22, 512%, 0, 78640, 0, 0, 2090075, 0, 0, 0, 0, 9129, 15520, 0, bash -c make --quiet --jobs=6
6, 276.30, 4:36.30, 1336.48, 78.26, 512%, 16, 78640, 0, 0, 2090228, 0, 0, 0, 0, 9256, 15684, 0, bash -c make --quiet --jobs=6
7, 245.58, 4:05.58, 1344.35, 80.20, 580%, 248, 78688, 0, 0, 2090397, 0, 0, 0, 0, 9060, 15806, 0, bash -c make --quiet --jobs=7
7, 245.58, 4:05.58, 1343.62, 80.76, 579%, 0, 78640, 0, 0, 2090460, 0, 0, 0, 0, 9074, 15775, 0, bash -c make --quiet --jobs=7
7, 245.77, 4:05.77, 1344.59, 79.63, 579%, 0, 78640, 0, 0, 2090751, 0, 0, 0, 0, 9114, 15708, 0, bash -c make --quiet --jobs=7
8, 232.67, 3:52.67, 1430.96, 82.93, 650%, 0, 78640, 0, 0, 2090534, 0, 0, 0, 0, 16041, 15707, 0, bash -c make --quiet --jobs=8
8, 233.06, 3:53.06, 1431.20, 83.02, 649%, 0, 78640, 0, 0, 2090172, 0, 0, 0, 0, 16236, 15885, 0, bash -c make --quiet --jobs=8
8, 232.75, 3:52.75, 1433.13, 82.98, 651%, 0, 78640, 0, 0, 2090614, 0, 0, 0, 0, 16238, 15767, 0, bash -c make --quiet --jobs=8
9, 221.91, 3:41.91, 1510.94, 84.92, 719%, 0, 78640, 0, 0, 2090406, 0, 0, 0, 0, 15381, 16157, 0, bash -c make --quiet --jobs=9
9, 222.16, 3:42.16, 1511.88, 85.16, 718%, 0, 78640, 0, 0, 2090351, 0, 0, 0, 0, 15243, 15999, 0, bash -c make --quiet --jobs=9
9, 221.96, 3:41.96, 1511.59, 85.25, 719%, 0, 78640, 0, 0, 2090410, 0, 0, 0, 0, 15328, 16109, 0, bash -c make --quiet --jobs=9
10, 213.23, 3:33.23, 1590.03, 88.48, 787%, 0, 78656, 0, 0, 2090141, 0, 0, 0, 0, 14231, 16271, 0, bash -c make --quiet --jobs=10
10, 213.11, 3:33.11, 1588.03, 86.92, 785%, 3552, 78640, 0, 46, 2092809, 0, 0, 0, 0, 14230, 16280, 0, bash -c make --quiet --jobs=10
10, 213.15, 3:33.15, 1589.14, 86.97, 786%, 1040, 78640, 0, 8, 2090112, 0, 0, 0, 0, 14266, 16116, 0, bash -c make --quiet --jobs=10
11, 204.25, 3:24.25, 1655.52, 89.27, 854%, 0, 78640, 0, 0, 2102735, 0, 0, 0, 0, 13047, 16319, 0, bash -c make --quiet --jobs=11
11, 204.54, 3:24.54, 1654.80, 89.82, 852%, 0, 78640, 0, 0, 2090766, 0, 0, 0, 0, 13118, 16265, 0, bash -c make --quiet --jobs=11
11, 204.41, 3:24.41, 1656.92, 88.79, 853%, 0, 78640, 0, 0, 2090629, 0, 0, 0, 0, 13120, 15970, 0, bash -c make --quiet --jobs=11
12, 197.19, 3:17.19, 1720.72, 89.57, 918%, 0, 78640, 0, 0, 2090773, 0, 0, 0, 0, 11929, 16418, 0, bash -c make --quiet --jobs=12
12, 197.39, 3:17.39, 1719.47, 90.60, 916%, 0, 78640, 0, 0, 2090049, 0, 0, 0, 0, 12094, 16442, 0, bash -c make --quiet --jobs=12
12, 197.09, 3:17.09, 1720.66, 90.76, 919%, 0, 78640, 0, 0, 2090605, 0, 0, 0, 0, 11990, 16131, 0, bash -c make --quiet --jobs=12
13, 190.46, 3:10.46, 1777.79, 92.97, 982%, 704, 78640, 0, 15, 2091767, 0, 0, 0, 0, 11004, 16427, 0, bash -c make --quiet --jobs=13
13, 190.64, 3:10.64, 1781.12, 92.84, 982%, 352, 78640, 0, 3, 2090436, 0, 0, 0, 0, 10971, 16235, 0, bash -c make --quiet --jobs=13
13, 190.68, 3:10.68, 1784.42, 91.48, 983%, 0, 78640, 0, 0, 2090463, 0, 0, 0, 0, 10989, 16158, 0, bash -c make --quiet --jobs=13
14, 185.30, 3:05.30, 1838.66, 93.48, 1042%, 352, 78656, 0, 9, 2108454, 0, 0, 0, 0, 10169, 16481, 0, bash -c make --quiet --jobs=14
14, 185.03, 3:05.03, 1837.96, 93.24, 1043%, 0, 78640, 0, 0, 2090423, 0, 0, 0, 0, 10142, 16531, 0, bash -c make --quiet --jobs=14
14, 185.18, 3:05.18, 1835.25, 93.45, 1041%, 0, 78640, 0, 0, 2090914, 0, 0, 0, 0, 10155, 16463, 0, bash -c make --quiet --jobs=14
15, 178.34, 2:58.34, 1900.45, 96.20, 1119%, 0, 78640, 0, 0, 2090433, 0, 0, 0, 0, 10154, 16545, 0, bash -c make --quiet --jobs=15
15, 179.99, 2:59.99, 1896.03, 95.94, 1106%, 0, 78640, 0, 0, 2090649, 0, 0, 0, 0, 9980, 16492, 0, bash -c make --quiet --jobs=15
15, 180.29, 3:00.29, 1896.46, 96.05, 1105%, 0, 78640, 0, 0, 2090752, 0, 0, 0, 0, 10027, 16604, 0, bash -c make --quiet --jobs=15
16, 178.00, 2:58.00, 1983.84, 99.14, 1170%, 0, 78640, 0, 0, 2090541, 0, 0, 0, 0, 10892, 16426, 0, bash -c make --quiet --jobs=16
16, 178.48, 2:58.48, 1984.44, 99.51, 1167%, 22416, 78640, 0, 51, 2111722, 0, 0, 0, 0, 11814, 17207, 0, bash -c make --quiet --jobs=16
16, 178.02, 2:58.02, 1981.99, 99.54, 1169%, 4704, 78640, 0, 16, 2090683, 0, 0, 0, 0, 10979, 16667, 0, bash -c make --quiet --jobs=16
17, 176.85, 2:56.85, 2070.56, 101.46, 1228%, 27024, 78640, 0, 128, 2112946, 0, 0, 0, 0, 11842, 18723, 0, bash -c make --quiet --jobs=17
17, 177.02, 2:57.02, 2071.40, 102.22, 1227%, 56032, 78640, 0, 169, 2112960, 0, 0, 0, 0, 12887, 18908, 0, bash -c make --quiet --jobs=17
17, 176.16, 2:56.16, 2076.94, 100.74, 1236%, 5968, 78640, 0, 32, 2109896, 0, 0, 0, 0, 11652, 16689, 0, bash -c make --quiet --jobs=17
18, 174.68, 2:54.68, 2161.06, 104.67, 1297%, 51704, 78640, 0, 94, 2136891, 0, 0, 0, 0, 13171, 18418, 0, bash -c make --quiet --jobs=18
18, 174.62, 2:54.62, 2164.14, 103.87, 1298%, 3160, 78656, 0, 10, 2097558, 0, 0, 0, 0, 12014, 16807, 0, bash -c make --quiet --jobs=18
