# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
1, 1083.67, 18:03.67, 1078.27, 5.59, 100%, 0, 223008, 0, 0, 103321, 0, 0, 0, 0, 918, 7, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p1 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.1"
1, 1064.13, 17:44.13, 1058.62, 5.70, 100%, 0, 223008, 0, 0, 103321, 0, 0, 0, 0, 892, 7, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p1 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.1"
1, 1063.65, 17:43.65, 1058.34, 5.51, 100%, 0, 223008, 0, 0, 103321, 0, 0, 0, 0, 872, 7, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p1 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.1"
2, 549.79, 9:09.79, 1084.09, 5.99, 198%, 0, 222992, 0, 0, 104251, 0, 0, 0, 0, 1304, 563, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p2 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.2"
2, 548.80, 9:08.80, 1084.30, 5.68, 198%, 0, 222992, 0, 0, 104251, 0, 0, 0, 0, 1507, 563, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p2 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.2"
2, 548.30, 9:08.30, 1083.34, 5.64, 198%, 0, 222992, 0, 0, 104251, 0, 0, 0, 0, 903, 564, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p2 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.2"
3, 374.28, 6:14.28, 1102.52, 5.40, 296%, 0, 223088, 0, 0, 105184, 0, 0, 0, 0, 1123, 397, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p3 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.3"
3, 374.00, 6:14.00, 1102.02, 5.52, 296%, 0, 223088, 0, 0, 105184, 0, 0, 0, 0, 1041, 396, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p3 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.3"
3, 373.71, 6:13.71, 1102.10, 5.36, 296%, 0, 223088, 0, 0, 105184, 0, 0, 0, 0, 906, 396, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p3 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.3"
4, 289.01, 4:49.01, 1117.87, 5.91, 388%, 0, 222928, 0, 0, 105876, 0, 0, 0, 0, 1293, 319, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p4 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.4"
